model_name                                                     model_display_name
-------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------
account.account                                                Account
account.analytic.account                                       Analytic Account
hr.applicant                                                   Applicant
appointment.type                                               Appointment Type
account.asset                                                  Asset/Revenue Recognition
res.partner.bank                                               Bank Accounts
account.online.link                                            Bank Connection
extract.mixin                                                  Base class to extract data from documents
mrp.bom                                                        Bill of Material
blog.blog                                                      Blog
blog.post                                                      Blog Post
calendar.event                                                 Calendar Event
res.company                                                    Companies
res.partner                                                    Contact
hr.contract                                                    Contract
hr.department                                                  Department
discuss.channel                                                Discussion Channel
documents.document                                             Document
documents.share                                                Documents Share
mail.thread.cc                                                 Email CC management
mail.thread                                                    Email Thread
hr.employee                                                    Employee
event.event                                                    Event
event.registration                                             Event Registration
event.track                                                    Event Track
hr.expense                                                     Expense
hr.expense.sheet                                               Expense Report
helpdesk.team                                                  Helpdesk Team
helpdesk.ticket                                                Helpdesk Ticket
hr.job                                                         Job Position
account.journal                                                Journal
account.move                                                   Journal Entry
knowledge.article                                              Knowledge Article
crm.lead                                                       Lead/Opportunity
stock.lot                                                      Lot/Serial
mail.blacklist                                                 Mail Blacklist
mail.thread.blacklist                                          Mail Blacklist mixin
mail.thread.main.attachment                                    Mail Main Attachment management
mailing.contact                                                Mailing Contact
mailing.mailing                                                Mass Mailing
account.payment                                                Payments
phone.blacklist                                                Phone Blacklist
mail.thread.phone                                              Phone Blacklist Mixin
hr.plan.employee.activity                                      Plan
pos.session                                                    Point of Sale Session
account.reconcile.model                                        Preset to create journal entries during a invoices and payments matching
product.template                                               Product
product.product                                                Product Variant
mrp.production                                                 Production Order
project.project                                                Project
project.milestone                                              Project Milestone
project.update                                                 Project Update
purchase.order                                                 Purchase Order
purchase.requisition                                           Purchase Requisition
rating.mixin                                                   Rating Mixin
sale.order                                                     Sales Order
crm.team                                                       Sales Team
crm.team.member                                                Sales Team Member
stock.scrap                                                    Scrap
sign.request                                                   Signature Request
project.task                                                   Task
hr.leave                                                       Time Off
hr.leave.allocation                                            Time Off Allocation
stock.picking                                                  Transfer
mrp.unbuild                                                    Unbuild Order
auth_totp.wizard                                               2-Factor Setup Wizard
documents.workflow.rule                                        A set of condition and actions which will be available to all attachments matching the conditions
account.edi.xml.ubl_a_nz                                       A-NZ BIS Billing 3.0
res.users.apikeys.description                                  API Key Description
res.groups                                                     Access Groups
account.cash.rounding                                          Account Cash Rounding
account.chart.template                                         Account Chart Template
account.group                                                  Account Group
account.journal.group                                          Account Journal Group
account.move.reversal                                          Account Move Reversal
account.move.send                                              Account Move Send
account.report.custom.handler                                  Account Report Custom Handler
account.report.footnote                                        Account Report Footnote
account.tax.report.handler                                     Account Report Handler for Tax Reports
account.account.tag                                            Account Tag
account.transfer.model                                         Account Transfer Model
account.transfer.model.line                                    Account Transfer Model Line
account.unreconcile                                            Account Unreconcile
account.root                                                   Account codes first 2 digits
account.reconcile.wizard                                       Account reconciliation wizard
report.account.report_invoice_with_payments                    Account report with payment lines
report.account.report_invoice                                  Account report without payment lines
account.tour.upload.bill                                       Account tour upload bill
account.tour.upload.bill.email.confirm                         Account tour upload bill email confirm
account.report                                                 Accounting Report
account.report.column                                          Accounting Report Column
account.report.expression                                      Accounting Report Expression
account.report.external.value                                  Accounting Report External Value
account.report.line                                            Accounting Report Line
account.fiscal.position.account                                Accounts Mapping of Fiscal Position
hr.leave.accrual.plan                                          Accrual Plan
hr.leave.accrual.level                                         Accrual Plan Level
account.accrued.orders.wizard                                  Accrued Orders Wizard
ir.actions.act_url                                             Action URL
ir.actions.act_window                                          Action Window
ir.actions.act_window_close                                    Action Window Close
ir.actions.act_window.view                                     Action Window View
ir.actions.actions                                             Actions
mail.activity                                                  Activity
mail.activity.mixin                                            Activity Mixin
mail.activity.type                                             Activity Type
mailing.contact.to.list                                        Add Contacts to Mailing List
mrp.workcenter.tag                                             Add tag for the workcenter
